2016-04-12 09:38:57,190 [Worker-14] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of CurrencyProxy
2016-04-12 09:38:57,190 [Worker-14] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for CurrencyProxy
2016-04-12 09:38:57,253 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-12 09:44:55,037 [Worker-18] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-04-12 09:44:55,137 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: CurrencyProxy:CurrencyProxy:0.0.1-SNAPSHOT @ C:\work\source\CurrencyProxy\CurrencyProxy\pom.xml.
2016-04-12 09:44:55,250 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /CurrencyProxy/src
2016-04-12 09:44:55,250 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /CurrencyProxy/src overlaps with sources folder /CurrencyProxy/src
2016-04-12 09:44:55,251 [Worker-18] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /CurrencyProxy/src/test/java because it overlaps with /CurrencyProxy/src
2016-04-12 09:44:55,777 [Worker-18] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: CurrencyProxy:CurrencyProxy:0.0.1-SNAPSHOT @ C:\work\source\CurrencyProxy\CurrencyProxy\pom.xml.
2016-04-12 09:44:56,329 [Worker-18] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for CurrencyProxy
2016-04-12 09:44:56,336 [Worker-18] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2016-04-12 09:44:56,565 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-12 09:44:56,572 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-12 09:44:56,573 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
